frame,class_id,confidence,x_center,y_center,width,height,kp1_x,kp1_y,kp2_x,kp2_y,kp3_x,kp3_y,kp4_x,kp4_y,kp5_x,kp5_y,kp6_x,kp6_y,conf_kp1,conf_kp2,conf_kp3,conf_kp4,conf_kp5,conf_kp6
70,1,0.937811017036438,584.2947998046875,304.3930969238281,400.10870361328125,391.434814453125,520.7210693359375,266.0968322753906,683.8038940429688,325.26690673828125,911.0712890625,408.4935607910156,,,373.0965576171875,384.806396484375,,,0.5408333,0.60074764,0.66222334,0.06551629,0.5336174,0.47182044
71,1,0.9374094605445862,584.250732421875,304.5170593261719,399.9578552246094,391.349609375,518.260986328125,266.9403381347656,681.912353515625,325.9245910644531,910.7841796875,408.6578369140625,,,372.4001159667969,385.462646484375,,,0.5413941,0.6010557,0.66501087,0.064799815,0.53093153,0.4664509
72,1,0.9368641972541809,583.59375,304.5579528808594,399.8446960449219,391.2952880859375,515.9667358398438,267.3442687988281,680.5156860351562,325.91802978515625,911.2242431640625,408.37835693359375,,,371.077880859375,385.71136474609375,,,0.54194117,0.6012961,0.66830415,0.064107515,0.5277105,0.46026754
73,1,0.9370787143707275,583.0336303710938,304.56768798828125,401.0019226074219,392.5758361816406,514.7030029296875,267.5827941894531,679.7728881835938,325.982666015625,911.1422119140625,408.40411376953125,,,370.442138671875,385.8345642089844,,,0.5421914,0.6011536,0.66959226,0.06380706,0.5261817,0.45758483
74,1,0.9380691051483154,581.8513793945312,304.56622314453125,401.4358825683594,393.0417175292969,512.6876220703125,267.6227722167969,678.7544555664062,326.1784362792969,911.1255493164062,408.84185791015625,,,367.93212890625,385.7984619140625,,,0.54158473,0.59994376,0.6713204,0.0632082,0.52589256,0.4550079
75,1,0.9381572604179382,581.0936279296875,304.8907470703125,402.2286071777344,393.8569030761719,512.1017456054688,267.94049072265625,678.505126953125,327.03143310546875,911.3477783203125,409.8086853027344,,,366.7183532714844,386.08026123046875,,,0.5415433,0.59874296,0.67189944,0.06262061,0.5262466,0.45518625
76,1,0.9382072687149048,580.8289794921875,305.0090637207031,402.48638916015625,394.14471435546875,512.0401611328125,267.9269104003906,678.4603271484375,327.0111999511719,911.3509521484375,409.77740478515625,,,366.72186279296875,386.0741271972656,,,0.54157764,0.5987562,0.6719964,0.0626118,0.5261158,0.45506242
77,1,0.9379833340644836,580.091552734375,305.3785705566406,401.96649169921875,393.57232666015625,511.07647705078125,269.0775146484375,677.7173461914062,327.9981994628906,910.914306640625,410.59820556640625,,,365.6701354980469,386.76776123046875,,,0.54151464,0.5975713,0.6721279,0.06219402,0.5262895,0.4531541
78,1,0.9379448294639587,579.8343505859375,305.51300048828125,402.9379577636719,394.6566467285156,509.0845947265625,269.16497802734375,676.3665161132812,327.61651611328125,910.5087890625,410.08050537109375,,,365.130126953125,386.76812744140625,,,0.54114103,0.5981035,0.67433035,0.062063735,0.52344614,0.4481639
79,1,0.9382126331329346,578.439208984375,305.5578308105469,403.4065856933594,395.04974365234375,508.1715087890625,269.32025146484375,675.8523559570312,327.788818359375,910.478271484375,410.343994140625,,,363.76519775390625,386.99114990234375,,,0.5405973,0.59748167,0.6754075,0.061874572,0.52310455,0.44620275
80,1,0.9385218620300293,577.602783203125,305.5688781738281,403.695556640625,395.17987060546875,506.59674072265625,269.4764709472656,674.7940063476562,327.8573913574219,910.4482421875,410.3179931640625,,,362.57891845703125,387.15179443359375,,,0.54062015,0.5972384,0.6771377,0.06146858,0.5218021,0.4431723
81,1,0.9392896294593811,576.6509399414062,305.89764404296875,404.6358947753906,395.8710632324219,504.97894287109375,269.7171325683594,673.6805419921875,328.13232421875,910.6652221679688,410.833740234375,,,361.01629638671875,387.54296875,,,0.5404734,0.5966402,0.67819923,0.060823813,0.52188575,0.44177237
82,1,0.9392765164375305,576.3162841796875,306.0168151855469,405.0977783203125,396.1154479980469,504.8153076171875,269.66925048828125,673.5623779296875,328.0594482421875,910.6761474609375,410.7330627441406,,,361.02325439453125,387.528076171875,,,0.54054666,0.5967908,0.6784486,0.060812637,0.52158237,0.44137847
83,1,0.9395133852958679,575.555908203125,306.0561218261719,405.36614990234375,396.19012451171875,505.00164794921875,269.92999267578125,673.6986694335938,328.8096008300781,910.8945922851562,411.81341552734375,,,360.0463562011719,388.0427551269531,,,0.5407285,0.59504,0.6776119,0.060418352,0.52297443,0.443597
84,1,0.9405007362365723,574.9633178710938,306.3954772949219,406.2247619628906,396.86187744140625,503.81207275390625,270.08441162109375,672.4730834960938,328.4869079589844,910.7373657226562,411.3834228515625,,,359.6116027832031,388.2957458496094,,,0.5410059,0.59560305,0.678677,0.060313,0.5221664,0.44099677
85,1,0.9412363767623901,574.4344482421875,306.51837158203125,406.7191162109375,397.1002197265625,502.627685546875,269.928955078125,671.765869140625,328.12957763671875,910.835205078125,411.17962646484375,,,359.02191162109375,388.18212890625,,,0.5407826,0.5962224,0.67991924,0.060125764,0.5207857,0.4385024
